,country_region,year,production,production_08,region
0,World,2021,1951.9,38.540000000000006,
1,China,2021,1032.8,38.540000000000006,asia
2,European Union,2021,152.5,38.540000000000006,
3,India,2021,118.2,38.540000000000006,asia
4,Japan,2021,96.3,38.540000000000006,asia
5,United States,2021,85.8,38.540000000000006,americas
6,Russia,2021,75.6,38.540000000000006,europe
7,South Korea,2021,70.4,38.540000000000006,asia
8,Turkey,2021,40.4,38.540000000000006,europe
9,Germany,2021,40.1,38.540000000000006,europe
49,World,2020,1877.5,33.82000000000001,
50,China,2020,1064.8,33.82000000000001,asia
51,European Union,2020,139.2,33.82000000000001,
52,India,2020,100.3,33.82000000000001,asia
53,Japan,2020,83.2,33.82000000000001,asia
54,United States,2020,72.7,33.82000000000001,americas
55,Russia,2020,71.6,33.82000000000001,europe
56,South Korea,2020,67.1,33.82000000000001,asia
57,Turkey,2020,35.8,33.82000000000001,europe
58,Germany,2020,35.7,33.82000000000001,europe
98,World,2019,1874.4,33.480000000000004,
99,China,2019,995.4,33.480000000000004,asia
100,European Union,2019,159.4,33.480000000000004,
101,India,2019,111.4,33.480000000000004,asia
102,Japan,2019,99.3,33.480000000000004,asia
103,United States,2019,87.8,33.480000000000004,americas
104,Russia,2019,71.7,33.480000000000004,europe
105,South Korea,2019,71.4,33.480000000000004,asia
106,Turkey,2019,33.7,33.480000000000004,europe
107,Germany,2019,39.6,33.480000000000004,europe
147,World,2018,1808.4,36.92000000000001,
148,China,2018,920.0,36.92000000000001,asia
149,European Union,2018,168.2,36.92000000000001,
150,India,2018,109.3,36.92000000000001,asia
151,Japan,2018,104.3,36.92000000000001,asia
152,United States,2018,86.6,36.92000000000001,americas
153,Russia,2018,72.0,36.92000000000001,europe
154,South Korea,2018,72.5,36.92000000000001,asia
155,Turkey,2018,37.3,36.92000000000001,europe
156,Germany,2018,42.4,36.92000000000001,europe
196,World,2017,1674.8,36.88000000000001,
197,China,2017,831.7,36.88000000000001,asia
198,European Union,2017,168.7,36.88000000000001,
199,India,2017,101.5,36.88000000000001,asia
200,Japan,2017,104.7,36.88000000000001,asia
201,United States,2017,81.6,36.88000000000001,americas
202,Russia,2017,71.3,36.88000000000001,europe
203,South Korea,2017,71.1,36.88000000000001,asia
204,Turkey,2017,37.5,36.88000000000001,europe
205,Germany,2017,43.6,36.88000000000001,europe
245,World,2016,1606.3,33.2,
246,China,2016,786.9,33.2,asia
247,European Union,2016,162.3,33.2,
